Product Name,Euro Price,Gender,Color,Company
Wide-Leg Jeans,19.95,Kid,Black,Zara
Wide-Leg Jeans,19.95,Kid,Blue,Zara
Jeans Flare,22.95,Kid,Blue,Zara
Flare Jeans,22.95,Kid,Black,Zara
Frayed Bootcut Jeans,27.95,Kid,Blue,Zara
Wide-Leg Jeans,22.95,Kid,Grey,Zara
Slim Waist Wide-Leg Jeans,22.95,Kid,Blue,Zara
Wide-Leg Drawstring Jeans,22.95,Kid,Grey,Zara
Wide-Leg Jeans,22.95,Kid,Blue,Zara
Basic Skinny Jeans,17.95,Kid,Blue,Zara
Basic Skinny Jeans,17.95,Kid,Black,Zara
Embroidered Straight-Leg Denim Trousers,27.95,Kid,Blue,Zara
Striped Straight-Leg Trousers,25.95,Kid,Pink,Zara
Ripped Wide Leg Jeans,25.95,Kid,Blue,Zara
Straight-Leg Jeans With Hems,25.95,Kid,White,Zara
Wide-Leg Jeans,25.95,Kid,Black,Zara
Flowing Wide-Leg Trousers,19.95,Kid,Blue,Zara
Flowing Wide-Leg Trousers,19.95,Kid,White,Zara
Tie-Dye Wide-Leg Jeans,27.95,Kid,White,Zara
Wide-Leg Jeans,25.95,Kid,White,Zara
Flowing Wide-Leg Trousers,22.95,Kid,White,Zara
Flowing Wide-Leg Trousers,22.95,Kid,Pink,Zara
Ripped Baggy Jeans,17.95,Kid,Blue,Zara
Ripped Baggy Jeans,17.95,Kid,Black,Zara
Mickey Mouse © Disney Patches Twill Baggy Trousers,19.95,Kid,White,Zara
Mickey Mouse © Disney Baggy Jeans,19.95,Kid,Blue,Zara
Cargo Jeans,19.95,Kid,Blue,Zara
Straight Fit Jeans,15.95,Kid,Blue,Zara
Straight Fit Jeans,15.95,Kid,Blue,Zara
Straight Fit Jeans,15.95,Kid,Black,Zara
Straight Fit Jeans,15.95,Kid,Grey,Zara
Balloon Denim Trousers,19.95,Kid,Black,Zara
Balloon Denim Trousers,19.95,Kid,Black,Zara
Washed-Effect Twill Balloon Trousers,15.95,Kid,Grey,Zara
Basic Skinny Jeans,15.95,Kid,Blue,Zara
Basic Skinny Jeans,15.95,Kid,Black,Zara
Striped Straight Twill Trousers,19.95,Kid,Red,Zara
Striped Straight Twill Trousers,19.95,Kid,Red,Zara
Balloon Jeans With Elastic Trim,22.95,Kid,Blue,Zara
Balloon Jeans With Elastic Trim,22.95,Kid,Grey,Zara
Splatter Print Relaxed Balloon Jeans,25.95,Kid,Blue,Zara
Striped Balloon Denim Trousers,25.95,Kid,Blue,Zara
Skinny Fit Jeans,17.95,Kid,Blue,Zara
Skinny Fit Jeans,17.95,Kid,Black,Zara
Ripped Skinny Fit Jeans,19.95,Kid,Blue,Zara
Relaxed Baggy Jeans,22.95,Kid,Blue,Zara
Relaxed Baggy Jeans,22.95,Kid,Grey,Zara
Ripped Relaxed Baggy Jeans,25.95,Kid,Blue,Zara
Barrel Denim Trousers,25.95,Kid,Grey,Zara
Pleated Balloon-Fit Denim Trousers,22.95,Kid,Blue,Zara
Multicargo Jeans,27.95,Kid,Black,Zara
Wide-Fit Jeans With Turn-Up Hems,25.95,Kid,Blue,Zara
Label Denim Long Dungarees,45.95,Kid,Blue,Zara
Carpenter Denim Trousers,22.95,Kid,White,Zara
Loose-Fitting Straight-Leg Jeans,19.95,Kid,Blue,Zara
Baggy Fit Jeans,22.95,Kid,Blue,Zara
Baggy Denim Trousers,25.95,Kid,Blue,Zara
Solal Jeans,316.25,Male,Blue,A.P.C.
Martin Jeans,293.25,Male,Blue,A.P.C.
Martin Jeans,270.25,Male,Black,A.P.C.
Martin Jeans,247.25,Male,Blue,A.P.C.
Martin Jeans,270.25,Male,Blue,A.P.C.
Achille Jeans,316.25,Male,Blue,A.P.C.
Aaron Jeans,270.25,Male,Blue,A.P.C.
Aaron Jeans,293.25,Male,Blue,A.P.C.
Standard Jeans,247.25,Male,Blue,A.P.C.
Petit Standard Jeans,247.25,Male,Blue,A.P.C.
Petit New Standard Jeans,247.25,Male,Blue,A.P.C.
New Standard Jeans,247.25,Male,Blue,A.P.C.
New Standard Jeans,270.25,Male,Black,A.P.C.
New Standard Jeans,270.25,Male,Blue,A.P.C.
Fairfax Jeans,270.25,Male,Blue,A.P.C.
Fairfax Jeans,293.25,Male,Blue,A.P.C.
Fairfax Jeans,293.25,Male,Black,A.P.C.
Fairfax Jeans,316.25,Male,White,A.P.C.
Fergus Jeans,293.25,Male,Blue,A.P.C.
Achille Jeans,270.25,Male,Blue,A.P.C.
Achille Jeans,293.25,Male,Blue,A.P.C.
Achille Jeans,253.06,Male,White,A.P.C.
Martin Jeans,270.25,Male,White,A.P.C.
New Standard Jeans,247.25,Male,Black,A.P.C.
New Standard Jeans,304.75,Male,Blue,A.P.C.
Petit New Standard Jeans,247.25,Male,Black,A.P.C.
Fairfax Jeans,316.25,Male,Blue,A.P.C.
Fairfax Jeans,293.25,Male,Brown,A.P.C.
Fairfax Jeans,293.25,Male,White,A.P.C.
Relaxed Jean H,316.25,Male,Blue,A.P.C.
Emilie Jeans,270.25,Female,Blue,A.P.C.
Romy Jeans,316.25,Female,Blue,A.P.C.
Romy Jeans,316.25,Female,Black,A.P.C.
Romy Jeans,316.25,Female,Red,A.P.C.
Elisabeth Jeans,316.25,Female,Blue,A.P.C.
Elisabeth Jeans,270.25,Female,Blue,A.P.C.
Elisabeth Jeans,293.25,Female,Black,A.P.C.
Elisabeth Jeans,293.25,Female,Blue,A.P.C.
Seaside Jeans,316.25,Female,Blue,A.P.C.
Seaside Jeans,293.25,Female,Black,A.P.C.
Seaside Jeans,270.25,Female,Blue,A.P.C.
Seaside Jeans,293.25,Female,Blue,A.P.C.
New Sailor Jeans,270.25,Female,Black,A.P.C.
New Sailor Jeans,247.25,Female,Blue,A.P.C.
New Sailor Jeans,270.25,Female,Blue,A.P.C.
Elisabeth Jeans,316.25,Female,White,A.P.C.
Standard Jeans,247.25,Female,Blue,A.P.C.
Elisabeth Jeans,304.75,Female,Blue,A.P.C.
Elisabeth Jeans,270.25,Female,White,A.P.C.
Elisabeth Jeans,293.25,Female,Brown,A.P.C.
Elisabeth Jeans,293.25,Female,White,A.P.C.
Seaside Jeans,293.25,Female,White,A.P.C.
New Sailor Jeans,270.25,Female,White,A.P.C.
Naomi Jeans,270.25,Female,Blue,A.P.C.
Wide High Ankle Jeans,34.99,Women,Blue,H&M
Wide High Ankle Jeans,34.99,Women,Brown,H&M
Wide High Ankle Jeans,34.99,Women,White,H&M
Wide High Jeans,29.99,Women,Black,H&M
Wide High Jeans,29.99,Women,Blue,H&M
Wide High Jeans,29.99,Women,Gray,H&M
Wide High Jeans,34.99,Women,Black,H&M
Wide High Jeans,34.99,Women,White,H&M
Skinny High Jeans,24.99,Women,Black,H&M
Skinny High Jeans,24.99,Women,Blue,H&M
Slim Mom High Ankle Jeans,29.99,Women,Blue,H&M
Slim Mom High Ankle Jeans,29.99,Women,Gray,H&M
Flared High Jeans,24.99,Women,Blue,H&M
Flared High Jeans,24.99,Women,White,H&M
Wide High Jeans,29.99,Women,White,H&M
Flared High Jeans,29.99,Women,Blue,H&M
Flared High Jeans,29.99,Women,White,H&M
Wide Ultra High Jeans,29.99,Women,Black,H&M
Wide Ultra High Jeans,29.99,Women,Blue,H&M
Wide Regular Jeans,29.99,Women,Blue,H&M
Weite Jeans,29.99,Women,Black,H&M
Weite Jeans,29.99,Women,Blue,H&M
Wide High Jeans,29.99,Women,Red,H&M
Flared Low Jeans,22.99,Women,Black,H&M
Flared Low Jeans,22.99,Women,Blue,H&M
Flared Low Jeans,29.99,Women,Black,H&M
Flared Low Jeans,29.99,Women,Gray,H&M
Wide High Ankle Jeans,34.99,Women,Black,H&M
Flared High Jeans,19.99,Women,Gray,H&M
Flared High Jeans,19.99,Women,White,H&M
Straight High Jeans,39.99,Women,Gray,H&M
Weite Jeans,29.99,Women,White,H&M
Wide Ultra High Jeans,29.99,Women,White,H&M
Barrel High Jeans,39.99,Women,Black,H&M
Barrel High Jeans,39.99,Women,Gray,H&M
Slim Straight High Ankle Jeans,29.99,Women,Blue,H&M
Slim Straight High Ankle Jeans,29.99,Women,Gray,H&M
Skinny Regular Ankle Jeans,39.99,Women,Black,H&M
Skinny Regular Ankle Jeans,39.99,Women,Gray,H&M
Denimhose Mit Kordelzug,24.99,Women,Black,H&M
Denimhose Mit Kordelzug,24.99,Women,Blue,H&M
True To You Skinny Ultra High Ankle Jeans,49.99,Women,Blue,H&M
Slim Mom High Ankle Jeans,29.99,Women,Black,H&M
Wide High Jeans,44.99,Women,Gray,H&M
Wide High Jeans,44.99,Women,White,H&M
Wide Ultra High Jeans,29.99,Women,Gray,H&M
Mama Before & After Straight Low Ankle Jeans,44.99,Women,Gray,H&M
Straight Regular Jeans,29.99,Men,Black,H&M
Straight Regular Jeans,29.99,Men,Blue,H&M
Straight Regular Jeans,29.99,Men,Gray,H&M
Baggy Jeans,39.99,Men,Blue,H&M
Baggy Jeans,39.99,Men,Gray,H&M
Relaxed Jeans,34.99,Men,Black,H&M
Relaxed Jeans,34.99,Men,Gray,H&M
Loose Jeans,39.99,Men,Black,H&M
Loose Jeans,39.99,Men,Gray,H&M
Regular Tapered Jeans,39.99,Men,Black,H&M
Regular Tapered Jeans,39.99,Men,Blue,H&M
Regular Tapered Jeans,39.99,Men,Gray,H&M
Bootcut Regular Jeans,49.99,Men,Black,H&M
Bootcut Regular Jeans,49.99,Men,Blue,H&M
Relaxed Jeans,39.99,Men,Black,H&M
Relaxed Jeans,39.99,Men,Blue,H&M
Loose Straight Jeans,39.99,Men,Black,H&M
Loose Straight Jeans,39.99,Men,Gray,H&M
Space Relaxed Straight Leg Jeans,70.0,Men,Black,H&M
Space Relaxed Straight Leg Jeans,70.0,Men,Blue,H&M
Space Relaxed Straight Leg Jeans,70.0,Men,Gray,H&M
Orbit Mid Waist Regular Straight Leg Jeans,59.0,Men,Blue,H&M
Orbit Mid Waist Regular Straight Leg Jeans,59.0,Men,Gray,H&M
Mist Wide Jeans,129.0,Men,Black,H&M
Mist Wide Jeans,129.0,Men,Blue,H&M
Mist Wide Jeans,129.0,Men,Gray,H&M
Straight Loose Lightweight Jeans,39.99,Men,Black,H&M
Straight Loose Lightweight Jeans,39.99,Men,Blue,H&M
Relaxed Jeans,39.99,Men,Gray,H&M
Astro Loose Baggy Leg Jeans,70.0,Men,Black,H&M
Astro Loose Baggy Leg Jeans,70.0,Men,Blue,H&M
Astro Loose Baggy Leg Jeans,70.0,Men,Gray,H&M
Regular Jeans,39.99,Men,Black,H&M
Regular Jeans,39.99,Men,Blue,H&M
Regular Jeans,39.99,Men,Gray,H&M
Baggy Jeans,39.99,Men,Black,H&M
Super Baggy Jeans,44.99,Men,Black,H&M
Super Baggy Jeans,44.99,Men,Blue,H&M
Super Baggy Jeans,44.99,Men,Gray,H&M
Super Baggy Jeans,39.99,Men,Black,H&M
Super Baggy Jeans,39.99,Men,Blue,H&M
Slim Jeans,39.99,Men,Gray,H&M
Rider Jeans Mit Geradem Bein,99.0,Men,Black,H&M
Rider Jeans Mit Geradem Bein,99.0,Men,Gray,H&M
Rider Jeans Mit Geradem Bein,99.0,Men,White,H&M
Cask Jeans Mit Barrel-Bein,99.0,Men,Blue,H&M
Loose Straight Jeans,39.99,Men,Blue,H&M
Loose Straight High Jeans,39.99,Men,Gray,H&M
Loose Straight High Jeans,39.99,Men,White,H&M
Pier Jeans Mit Schmalem Bein,79.0,Men,Blue,H&M
Galaxy Loose Straight Leg Jeans,60.0,Men,Black,H&M
Galaxy Loose Straight Leg Jeans,60.0,Men,Blue,H&M
Barrel Loose Jeans,44.99,Men,Black,H&M
Barrel Loose Jeans,44.99,Men,Blue,H&M
Straight Loose Jeans,39.99,Men,Blue,H&M
Straight Loose Jeans,39.99,Men,Brown,H&M
Straight Loose Jeans,39.99,Men,Gray,H&M
Ocean Loose Straight Jeans,89.0,Men,Blue,H&M
Ocean Loose Straight Jeans,89.0,Men,Gray,H&M
Loose Fit Jeans,39.99,Men,Blue,H&M
Loose Fit Jeans,39.99,Men,Gray,H&M
Signature Jeans Mit Geradem Bein,89.0,Men,Black,H&M
Signature Jeans Mit Geradem Bein,89.0,Men,Blue,H&M
Signature Jeans Mit Geradem Bein,89.0,Men,Gray,H&M
Rider Raw Selvedge-Jeans Mit Geradem Bein,129.0,Men,Blue,H&M
Canyon Bootcut-Jeans Mit Normaler Passform,99.0,Men,Blue,H&M
Ray Relaxed Tapered Leg Jeans,60.0,Men,Black,H&M
Ray Relaxed Tapered Leg Jeans,60.0,Men,Blue,H&M
Klean Regular Straight Leg Jeans,70.0,Men,Black,H&M
Mercury Relaxed Bootcut Leg Jeans,60.0,Men,Black,H&M
Mercury Relaxed Bootcut Leg Jeans,60.0,Men,Blue,H&M
Mercury Relaxed Bootcut Leg Jeans,60.0,Men,Gray,H&M
Baggy Fit Cargo Jeans,34.99,Kid,Blue,H&M
Baggy Fit Low Jeans,29.99,Kid,Blue,H&M
Baggy Fit Jeans,29.99,Kid,Black,H&M
Baggy Fit Jeans,29.99,Kid,Blue,H&M
Baggy Fit Jeans,29.99,Kid,Gray,H&M
Bootcut Leg Low Jeans,29.99,Kid,Black,H&M
Bootcut Leg Low Jeans,29.99,Kid,Blue,H&M
Super Baggy Jeans,34.99,Kid,Blue,H&M
