Name,Price,Colors,Gender
Baggy Fit Cargo Jeans,"34,99 €",Blue,Kid
Baggy Fit Low Jeans,"29,99 €",Blue,Kid
Baggy Fit Jeans,"29,99 €","Black, Blue, Gray",Kid
Bootcut Leg Low Jeans,"29,99 €","Black, Blue",Kid
Super Baggy Jeans,"34,99 €","Blue, Gray",Kid
Baggy Fit Bootcut Leg Jeans,"27,99 €","Black, Blue",Kid
Comfort Stretch Slim Fit Jeans,"24,99 €","Blue, Gray",Kid
Baggy Fit Jeans,"29,99 €","Blue, Gray",Kid
Baggy Fit Bootcut Leg Jeans,"34,99 €",Blue,Kid
Wide Leg Jeans,"24,99 €","Black, Blue, Gray",Kid
Loose Fit Jeans,"24,99 €","Black, Blue",Kid
Wide Leg Jeans,"24,99 €","Black, Blue, Gray",Kid
Loose Fit Jeans,"24,99 €","Black, Blue",Kid
Relaxed Tapered Fit Jeans,"24,99 €","Black, Blue, Gray",Kid
Baggy Fit Jeans,"29,99 €","Black, Blue, Gray",Kid
Baggy Fit Bootcut Leg Jeans,"27,99 €","Black, Blue",Kid
Straight Leg Jeans,"27,99 €",Blue,Kid
Baggy Fit Jeans,"29,99 €","Black, Blue, Gray",Kid
Loose Fit Jeans,"24,99 €","Black, Blue",Kid
2er-Pack Comfort Stretch Relaxed Fit Jeans,"49,99 €","Black, Blue, Gray",Kid
Flared Leg Low Jeans,"29,99 €","Blue, Gray",Kid
Bootcut Leg Low Jeans,"29,99 €","Black, Blue",Kid
Wide Leg Jeans,"29,99 €","Black, Blue",Kid
Wide Leg Jeans,"24,99 €","Black, Blue, Gray",Kid
Flared Leg Low Jeans,"29,99 €","Blue, Gray",Kid
Super Baggy Jeans,"34,99 €","Blue, Gray",Kid
Loose Fit Jeans,"39,99 €",Blue,Kid
Baggy Fit Bootcut Leg Jeans,"34,99 €",Blue,Kid
Slim Fit Jeans mit Biesen,"29,99 €",Blue,Kid
Super Baggy Jeans,"34,99 €","Blue, Gray",Kid
Wide Leg Cargo Jeans,"29,99 €","Blue, Gray",Kid
Loose Fit Wide Leg Jeans,"29,99 €",Blue,Kid
Wide Leg Cargo Jeans,"29,99 €","Blue, Gray",Kid
Baggy Fit Carpenter Jeans,"34,99 €","Black, Blue",Kid
Baggy Fit Bootcut Leg Jeans,"34,99 €",Blue,Kid
Jeans mit weitem Bein,"29,99 €","Blue, Gray",Kid
