Product_Name,euro_price,gender,Color,company
Space Relaxed Straight Leg Jeans,70.0,Men,Black,H&M
Space Relaxed Straight Leg Jeans,70.0,Men,Blue,H&M
Space Relaxed Straight Leg Jeans,70.0,Men,Gray,H&M
Orbit Mid Waist Regular Straight Leg Jeans,59.0,Men,Blue,H&M
Orbit Mid Waist Regular Straight Leg Jeans,59.0,Men,Gray,H&M
MIST Wide Jeans,129.0,Men,Black,H&M
MIST Wide Jeans,129.0,Men,Blue,H&M
MIST Wide Jeans,129.0,Men,Gray,H&M
Straight Loose Lightweight Jeans,39.99,Men,Black,H&M
Straight Loose Lightweight Jeans,39.99,Men,Blue,H&M
Relaxed Jeans,39.99,Men,Gray,H&M
Astro Loose Baggy Leg Jeans,70.0,Men,Black,H&M
Astro Loose Baggy Leg Jeans,70.0,Men,Blue,H&M
Astro Loose Baggy Leg Jeans,70.0,Men,Gray,H&M
Regular Jeans,39.99,Men,Black,H&M
Regular Jeans,39.99,Men,Blue,H&M
Regular Jeans,39.99,Men,Gray,H&M
Baggy Jeans,39.99,Men,Black,H&M
Super Baggy Jeans,44.99,Men,Black,H&M
Super Baggy Jeans,44.99,Men,Blue,H&M
Super Baggy Jeans,44.99,Men,Gray,H&M
Super Baggy Jeans,39.99,Men,Black,H&M
Super Baggy Jeans,39.99,Men,Blue,H&M
Slim Jeans,39.99,Men,Gray,H&M
RIDER JEANS MIT GERADEM BEIN,99.0,Men,Black,H&M
RIDER JEANS MIT GERADEM BEIN,99.0,Men,Gray,H&M
RIDER JEANS MIT GERADEM BEIN,99.0,Men,White,H&M
CASK JEANS MIT BARREL-BEIN,99.0,Men,Blue,H&M
Loose Straight Jeans,39.99,Men,Blue,H&M
Loose Straight High Jeans,39.99,Men,Gray,H&M
Loose Straight High Jeans,39.99,Men,White,H&M
PIER JEANS MIT SCHMALEM BEIN,79.0,Men,Blue,H&M
Galaxy Loose Straight Leg Jeans,60.0,Men,Black,H&M
Galaxy Loose Straight Leg Jeans,60.0,Men,Blue,H&M
Barrel Loose Jeans,44.99,Men,Black,H&M
Barrel Loose Jeans,44.99,Men,Blue,H&M
Straight Loose Jeans,39.99,Men,Blue,H&M
Straight Loose Jeans,39.99,Men,Brown,H&M
Straight Loose Jeans,39.99,Men,Gray,H&M
OCEAN Loose Straight Jeans,89.0,Men,Blue,H&M
OCEAN Loose Straight Jeans,89.0,Men,Gray,H&M
Loose Fit Jeans,39.99,Men,Blue,H&M
Loose Fit Jeans,39.99,Men,Gray,H&M
SIGNATURE JEANS MIT GERADEM BEIN,89.0,Men,Black,H&M
